25000   0.016093
50000   0.035254
100000  0.078967
150000  0.118036
200000  0.158774
250000  0.203786
300000  0.252140
350000  0.292408
400000  0.342540
450000  0.386647
500000  0.439057
550000  0.481858
600000  0.537760
650000  0.572531
700000  0.647920
750000  0.691898
800000  0.725439
850000  0.778277
900000  0.850383
950000  0.894101
1000000 0.917855
1500000 1.396715
2000000 1.923336
2500000 2.498203
3000000 3.011923
3500000 3.544233
4000000 4.038761
4500000 4.681494
5000000 5.190116
5500000 5.726339
6000000 6.330455
6500000 6.935511
7000000 7.588948
7500000 7.950627
8000000 8.904036
8500000 9.190247
9000000 9.690094
9500000 10.233703
10000000        11.081387
