25000   0.031463
50000   0.071769
100000  0.142597
150000  0.226000
200000  0.302188
250000  0.388556
300000  0.468707
350000  0.562359
400000  0.638830
450000  0.734770
500000  0.816614
550000  0.912145
600000  0.988999
650000  1.095274
700000  1.166714
750000  1.278366
800000  1.347659
850000  1.460201
900000  1.528647
950000  1.624150
1000000 1.734370
1500000 2.640005
2000000 3.588574
2500000 4.630717
3000000 5.547804
3500000 6.629299
4000000 7.536346
4500000 8.653541
5000000 9.569202
5500000 10.729388
6000000 11.603102
6500000 12.805850
7000000 13.696467
7500000 14.919302
8000000 15.747196
8500000 16.989843
9000000 17.858355
9500000 19.176105
10000000        20.000753
