25000   0.031318
50000   0.068011
100000  0.153681
150000  0.258714
200000  0.363607
250000  0.484831
300000  0.604531
350000  0.756527
400000  0.869590
450000  1.014798
500000  1.136523
550000  1.299018
600000  1.421841
650000  1.587362
700000  1.717489
750000  1.897135
800000  2.023976
850000  2.206967
900000  2.338473
950000  2.520498
1000000 2.645592
1500000 4.367022
2000000 6.065527
2500000 8.013082
3000000 9.825747
3500000 11.930756
4000000 13.783256
4500000 16.034503
5000000 17.910217
5500000 20.281413
6000000 22.137966
6500000 24.440058
7000000 26.262326
7500000 28.889655
8000000 30.683332
8500000 33.373539
9000000 35.247645
9500000 37.990596
10000000        39.797151
