25000   0.055965
50000   0.104416
100000  0.216335
150000  0.319453
200000  0.430647
250000  0.533124
300000  0.649042
350000  0.747614
400000  0.867102
450000  0.963608
500000  1.080118
550000  1.174735
600000  1.303315
650000  1.392336
700000  1.516803
750000  1.601305
800000  1.734608
850000  1.815848
900000  1.947985
950000  2.033007
1000000 2.170807
1500000 3.210281
2000000 4.337463
2500000 5.349970
3000000 6.504115
3500000 7.483539
4000000 8.553506
4500000 9.756095
5000000 10.688783
5500000 11.917438
6000000 12.827905
6500000 14.090158
7000000 14.964714
7500000 16.260950
8000000 17.104056
8500000 18.427198
9000000 19.239379
9500000 20.593039
10000000        21.376840
